URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/action-cardinality-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.807",ActionCardinalityBehavior,ActionCardinalityBehavior,"Defines behavior for an action or a group for how many times that item may be repeated.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-condition-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.815",ActionConditionKind,ActionConditionKind,"Defines the kinds of conditions that can appear on actions.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-grouping-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.799",ActionGroupingBehavior,ActionGroupingBehavior,"Defines organization behavior of a group.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-participant-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.796",ActionParticipantRole,Action participant role,"Either a practitioner role or a relationship type.","StructureDefinition/anticancer-regimen-plandefinition",
http://hl7.org/fhir/ValueSet/action-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.811",ActionParticipantType,ActionParticipantType,"The type of participant for the action.","StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-precheck-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.805",ActionPrecheckBehavior,ActionPrecheckBehavior,"Defines selection frequency behavior for an action or group.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.813",ActionRelationshipType,ActionRelationshipType,"Defines the types of relationships between actions.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-required-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.803",ActionRequiredBehavior,ActionRequiredBehavior,"Defines expectations around whether an action or action group is required.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-selection-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.801",ActionSelectionBehavior,ActionSelectionBehavior,"Defines selection behavior of a group.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/action-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.809",ActionType,ActionType,"The type of action to be performed.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","THO"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/line-of-therapy-observation","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/anticancer-regimen-plandefinition","SCT"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/anticancer-regimen-plandefinition","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/line-of-therapy-observation","THO"
http://hl7.org/fhir/ValueSet/definition-topic,4.0.1,draft,"2.16.840.1.113883.4.642.3.794",DefinitionTopic,DefinitionTopic,"High-level categorization of the definition, used for searching, sorting, and filtering.","StructureDefinition/oncology-data-requirements-library,StructureDefinition/anticancer-regimen-plandefinition","THO"
http://hl7.org/fhir/ValueSet/goal-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.275",GoalCategory,Goal category,"Example codes for grouping goals to use for filtering or presentation.","StructureDefinition/anticancer-regimen-plandefinition","THO"
http://hl7.org/fhir/ValueSet/goal-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.273",GoalPriority,Goal priority,"Indicates the level of importance associated with reaching or sustaining a goal.","StructureDefinition/anticancer-regimen-plandefinition","THO"
http://hl7.org/fhir/ValueSet/goal-start-event,4.0.1,draft,"2.16.840.1.113883.4.642.3.279",GoalStartEvent,Goal start event,"Identifies types of events that might trigger the start of a goal.","StructureDefinition/anticancer-regimen-plandefinition","SCT"
http://hl7.org/fhir/ValueSet/jurisdiction,4.0.1,active,"2.16.840.1.113883.4.642.3.48",Jurisdiction ValueSet,Jurisdiction,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/oncology-data-requirements-library,StructureDefinition/anticancer-regimen-plandefinition","hl7.terminology.r4,Other"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/oncology-data-requirements-library,StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/line-of-therapy-observation,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/library-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.763",LibraryType,LibraryType,"The type of knowledge asset this library contains.","StructureDefinition/oncology-data-requirements-library","THO"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/line-of-therapy-observation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/line-of-therapy-observation,StructureDefinition/anticancer-regimen-plandefinition","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/line-of-therapy-observation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/line-of-therapy-observation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/line-of-therapy-observation","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/plan-definition-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.797",PlanDefinitionType,PlanDefinitionType,"The type of PlanDefinition.","StructureDefinition/anticancer-regimen-plandefinition","THO"
http://hl7.org/fhir/ValueSet/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.3.3",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","StructureDefinition/oncology-data-requirements-library,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/line-of-therapy-observation","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/line-of-therapy-observation","THO"
http://hl7.org/fhir/ValueSet/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/anticancer-regimen-requestgroup","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","StructureDefinition/anticancer-regimen-requestgroup,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/anticancer-regimen-requestgroup","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/subject-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.775",SubjectType,Subject type,"Possible types of subjects.","StructureDefinition/oncology-data-requirements-library,StructureDefinition/anticancer-regimen-plandefinition","hl7.fhir.r4.core"
http://hl7.org/fhir/us/codex-ocpa/ValueSet/regimen-intent-vs,0.1.0,draft,,RegimenIntentVS,Regimen Intent Value Set,"The clinical intent of an anti-cancer regimen. All codes are drawn from the SNOMED CT \""Intents (nature of procedure values)\"" hierarchy (363675004).  **mCODE Migration Candidate** — Proposed for mCODE STU5.","StructureDefinition/ocpa-regimen-intent","SCT"
http://hl7.org/fhir/us/codex-ocpa/ValueSet/treatment-line-vs,0.1.0,draft,,TreatmentLineVS,Treatment Line Value Set,"Codes representing the ordinal line of systemic anti-cancer therapy. Used in LineOfTherapyObservation.valueCodeableConcept and the RegimenTreatmentLine extension.  **mCODE Migration Candidate** — Proposed for mCODE STU5.","StructureDefinition/ocpa-regimen-treatment-line,StructureDefinition/line-of-therapy-observation","Internal"
